#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	        43.87015 	       1.6359635 	       522.89219
600 	        396.6842 	       3.9525113 	       525.01891
900 	       524.03091 	       4.4181254 	       525.54655
1200 	        593.7528 	       4.6444649 	        525.8135
1500 	       697.93913 	       4.9547399 	       526.19005
1800 	       767.54211 	       5.1467916 	       526.42911
2100 	       783.76039 	       5.1900215 	       526.48355
2400.001 	       775.00566 	       5.1667556 	       526.45422
2700 	       761.74983 	       5.1312253 	       526.40955
3000 	       732.47591 	         5.05143 	       526.30979
