#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       308.49279 	       2.9910151 	        521.7563
7200 	       638.30024 	       3.8243617 	       522.81976
10800 	       682.63297 	       3.8647562 	       522.97486
14400 	       670.21738 	       3.9014733 	       522.96616
18000 	       691.33039 	       3.9346274 	       523.02573
21600 	       810.99071 	       4.3056427 	       523.33798
25200 	       830.74929 	       4.3323126 	       523.38573
28800 	       803.12445 	       4.3135659 	       523.19333
32400 	       745.68239 	       4.0624227 	       523.26616
36000 	       701.97823 	       3.9458319 	       523.18305
