#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1500 	       45.653641 	       1.3911635 	       520.32852
1800 	       214.32489 	       2.6332207 	       521.36768
2100 	        242.4963 	       2.7666158 	          521.49
2400 	        264.9853 	       4.1562924 	       521.23548
2700 	       138.34001 	       4.4120426 	       520.78117
3000 	       182.93885 	       5.2855388 	       520.92126
