#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	        43.87015 	       1.6359635 	       522.89219
600 	       396.50212 	       3.9517855 	       525.01811
900 	       526.72034 	       4.4271806 	        525.5571
1200 	       604.29913 	       4.6772876 	       525.85276
1500 	       705.34625 	       4.9757026 	       526.21593
1800 	       772.13771 	       5.1590929 	       526.44459
2100 	       789.31108 	       5.2046936 	       526.50208
2400 	        779.7093 	       5.1792761 	          526.47
2700 	       766.40082 	       5.1437325 	       526.42526
3000 	       737.47773 	       5.0651928 	       526.32695
