#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       316.34358 	       3.7161666 	       523.51706
600 	       597.08598 	       4.7731342 	       524.79621
900 	       594.96458 	        4.766195 	        524.7878
1200 	       671.25496 	       4.9966497 	        525.0922
1500 	       905.96976 	       5.6350368 	       525.93821
1800 	        719.3054 	       5.1527363 	       525.26041
2100 	       752.87054 	       5.2229942 	       525.40599
2400 	        821.6576 	       5.4278051 	       525.63752
2700 	       682.93866 	       5.0318369 	       525.13645
3000 	       714.74112 	       5.1226515 	       525.25813
