#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	   -0.0069076703 	  -0.00054394899 	              -1
14400 	       85.890118 	       2.8205694 	       521.86794
18000 	        123.4123 	       2.8676126 	       522.76842
21600 	       210.30011 	       2.3088104 	       523.54209
25200 	       219.51685 	       2.3537303 	       523.58281
28800 	       214.44547 	       2.3312925 	       523.55945
32400 	       208.91804 	       2.3015198 	       523.53586
36000 	       201.59625 	       2.2687135 	       523.50401
