#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       331.37394 	       4.2124427 	       524.39151
7200 	       539.11961 	       4.7524608 	       525.39707
10800 	       587.02064 	       4.8331037 	       525.62893
14400 	       687.67971 	       4.9720953 	       526.11616
18000 	             705 	       3.3496627 	       528.20282
21600 	             705 	       3.0522532 	       528.79585
25200 	             705 	       3.0835743 	         528.728
28800 	             705 	        3.195024 	       528.49739
32400 	             705 	       3.2539616 	       528.38182
36000 	             705 	       3.4975734 	       527.94545
