#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	       520.93279
7200 	       90.719022 	               0 	       521.06448
10800 	       592.95083 	       105.05907 	       520.98925
14400 	        232.1506 	       27.098542 	       520.94172
18000 	       593.08656 	       92.513201 	       520.99773
21600 	       246.89106 	       51.512803 	       520.97304
25200 	       592.87969 	       156.28861 	       520.82259
28800 	       593.10493 	       124.29948 	       520.88805
32400 	        592.9037 	        129.0731 	       521.10772
36000 	        592.9154 	       135.10043 	        520.9599
