#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1500.0004 	               0 	               0 	              -1
1800 	               0 	               0 	              -1
2100 	        8.886235 	         1.00368 	       519.78607
2400 	       18.875455 	      0.97079757 	       520.00915
2700 	       17.730492 	      0.94378837 	        519.9923
3000 	       15.579236 	      0.89039463 	       519.95942
