#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	         47.6802 	        1.423938 	       520.34818
7200 	       456.75469 	       3.3578628 	       522.28185
10800 	       627.59358 	       3.8948458 	       522.83751
14400 	       783.85263 	       4.0903191 	       523.37752
18000 	       1090.2496 	       3.8053907 	       524.14536
21600 	       1312.1383 	       3.4747528 	       524.57024
25200 	       1336.0597 	        3.499102 	       524.59965
28800 	       1288.1925 	       3.4505611 	       524.54053
32400 	       1275.3258 	       3.4718366 	       524.53893
36000 	       1187.3326 	       3.5314889 	       524.37055
