#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       408.12417 	       66.571328 	       520.98876
7200 	               0 	               0 	        520.9764
10800 	       408.11395 	       90.599665 	       521.06463
14400 	       407.98887 	       35.073506 	       521.03644
18000 	       408.05377 	       74.181401 	       521.02676
21600 	       129.32459 	       37.982855 	       520.83398
25200 	       408.07586 	        109.0528 	       520.89479
28800 	        407.9529 	       37.008668 	       521.04843
32400 	       408.05675 	       74.160807 	       521.01746
36000 	        408.1136 	       43.494622 	       521.09286
