#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       308.21477 	       4.0217213 	       523.61126
600 	       511.03009 	       4.9312428 	       524.61622
900 	       590.23782 	        5.229865 	       524.95978
1200 	       664.85302 	        5.497826 	       525.26027
1500 	       777.16346 	       5.8735143 	       525.68418
1800 	       829.22839 	       6.0401406 	        525.8692
2100 	       831.62313 	       6.0471087 	       525.87805
2400 	       821.19694 	       6.0132931 	        525.8423
2700 	       820.46521 	       6.0090981 	       525.84131
3000 	       788.16691 	       5.9075211 	       525.72517
