#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       328.95379 	       3.7333522 	       524.63998
7200 	           523.6 	       3.6531881 	       526.23661
10800 	           523.6 	       2.6022696 	       527.91037
14400 	           523.6 	       2.3254777 	       528.60289
18000 	           523.6 	       2.0113462 	       529.61975
21600 	           523.6 	       2.0924154 	        529.3281
25200 	           523.6 	       2.1141212 	       529.25381
28800 	           523.6 	       2.1873422 	       529.01407
32400 	           523.6 	       2.2272581 	       528.89001
36000 	           523.6 	       2.3863952 	       528.43669
