#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       306.62548 	       105.33338 	       520.96768
7200 	       306.63918 	       29.759923 	       521.02772
10800 	               0 	               0 	       520.95013
14400 	       306.68071 	        53.22511 	       521.03775
18000 	               0 	               0 	       521.00151
21600 	           664.8 	       3.8448296 	       527.19537
25200 	           664.8 	       3.8573054 	       527.17455
28800 	           664.8 	       4.0327152 	       526.89546
32400 	           664.8 	       4.1467308 	       526.72671
36000 	           664.8 	       4.6430576 	       526.08868
