#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       223.19658 	       2.6710088 	       521.38904
600 	       395.82913 	       3.3546914 	       522.06198
900 	       518.11475 	       3.6367344 	        522.4646
1200 	       648.14907 	       3.9623782 	       522.85505
1500 	       772.17161 	         4.07045 	       523.22962
1800 	       842.97178 	       4.2037598 	       523.40594
2100 	       899.60433 	       4.3077736 	       523.54246
2400 	       940.63129 	       4.3830084 	       523.63911
2700 	       957.02584 	       4.4128107 	        523.6772
3000 	       965.59981 	       4.4283726 	       523.69701
