#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	       42.102429 	       8.9320157 	       520.93662
900 	       372.56068 	       170.95499 	       521.16315
1200 	               0 	               0 	       520.94558
1500 	       372.63133 	       120.76882 	       521.02263
1800 	       372.57845 	       70.017658 	       521.00087
2100 	       372.62558 	        75.34764 	       521.01404
2400 	       372.55386 	       171.40065 	       520.86241
2700 	               0 	               0 	       520.86748
3000 	       372.62376 	       84.912402 	        520.9807
