#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1500 	               0 	               0 	              -1
1800 	               0 	               0 	              -1
2100 	        42.30037 	       1.3693462 	       520.26306
2400 	       49.911818 	       1.4593525 	       520.34078
2700 	       48.278659 	       1.4438875 	       520.32472
3000 	       44.808892 	       1.4019064 	       520.28933
