#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	       374.74503 	       4.2793069 	       524.01733
900 	       526.46335 	       4.8966623 	       524.75981
1200 	       607.14069 	        5.186741 	       525.11504
1500 	       697.94729 	       5.4866567 	       525.49299
1800 	       763.48624 	       5.6856196 	       525.75642
2100 	       784.15263 	       5.7462336 	       525.83758
2400 	       780.83767 	       5.7365393 	       525.82465
2700 	       772.43784 	       5.7119219 	       525.79174
3000 	       752.08602 	       5.6516176 	        525.7114
