#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	        332.6369 	        3.105675 	       521.83095
7200 	       552.18365 	       3.6475908 	       522.56678
10800 	       595.78722 	       3.7538614 	       522.69749
14400 	       700.00602 	       3.9958552 	       522.99255
18000 	       896.39011 	        4.277904 	       523.52924
21600 	        988.7021 	       4.4536498 	       523.74173
25200 	       974.23673 	       4.4268614 	       523.70895
28800 	       932.66509 	       4.3483641 	       523.61366
32400 	       913.46685 	       4.3113981 	       523.56906
36000 	       841.09186 	       4.1683248 	         523.397
