#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
1000 	       270.34005 	       3.5958526 	       524.66052
2000 	       613.28972 	       4.9924291 	       526.23567
3000 	       678.39112 	        5.197418 	        526.4895
4000 	        709.1399 	       5.2906125 	       526.60558
5000 	       763.75035 	       5.4500285 	       526.80716
6000 	       796.28181 	       5.5417091 	       526.92454
7000 	        798.5229 	       5.5479851 	       526.93252
8000 	       786.58336 	       5.5146963 	       526.88968
9000 	       783.43582 	       5.5058614 	       526.87835
10000 	       764.43659 	        5.452045 	       526.80961
