#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	       482.65089 	       3.4562351 	       526.13018
900 	       482.65089 	       2.3947201 	       527.92017
1200 	       482.65089 	       2.1899988 	       528.46498
1500 	       482.65089 	       2.0026478 	       529.06118
1800 	       482.65089 	       1.8860589 	       529.49198
2100 	       482.65089 	        1.834969 	       529.69801
2400 	       482.65089 	        1.825356 	       529.73807
2700 	       482.65089 	       1.8227842 	       529.74885
3000.0007 	       482.65089 	       1.8362568 	       529.69268
