#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	       62.012671 	       2.6986963 	       521.26639
14400 	       86.212019 	        3.003319 	       521.93333
18000 	       138.45893 	       2.8608302 	        522.8822
21600 	       154.71559 	        2.809953 	       523.00285
25200 	       158.72693 	       2.8468532 	        523.0298
28800 	        157.1437 	       2.8329864 	       523.01921
32400 	       155.12126 	       2.8153614 	       523.00558
36000 	       152.82899 	       2.7957426 	       522.98994
