#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	        390.8838 	       3.9262968 	       524.97088
7200 	       482.65089 	       2.1753412 	       528.50792
10800 	       482.65089 	       2.0517629 	       528.89435
14400 	       482.65089 	       1.9721477 	       529.16896
18000 	       482.65089 	       1.8344772 	       529.70005
21600 	       482.65089 	       1.7755836 	        529.9524
25200 	       482.65089 	       1.7779306 	       529.94202
28800 	       482.65089 	        1.804701 	       529.82558
32400 	       482.65089 	       1.8080076 	       529.81143
36000 	       482.65089 	       1.8541752 	       529.61923
