#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       49.212929 	       2.2457673 	        521.5739
7200 	       621.51037 	       5.4554416 	       524.99946
10800 	       649.12333 	       4.3035189 	       526.37363
14400 	       649.12333 	        3.994381 	       526.80824
18000 	       649.12333 	       3.6071704 	        527.4577
21600 	       649.12333 	       3.4372173 	       527.78896
25200 	       649.12333 	       3.4295216 	       527.80474
28800 	       649.12333 	       3.4903814 	       527.68187
32400 	       649.12333 	       3.5023016 	        527.6583
36000 	       649.12333 	       3.6044779 	        527.4627
