#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	       375.27365 	       3.2534194 	       521.98591
900 	       778.11983 	       4.1786447 	       523.19194
1200 	       856.95852 	       4.2634679 	       523.43484
1500 	       925.89451 	       4.3973405 	       523.59776
1800 	       1003.6909 	       4.5423323 	       523.77518
2100 	       1042.0993 	       4.6112347 	       523.86065
2400 	       1041.9392 	       4.6109998 	       523.86022
2700 	       1031.4829 	       4.5924001 	       523.83707
3000 	        1015.957 	       4.5646112 	       523.80244
