#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	       25.622662 	      0.31961159 	       524.43496
450 	       73.024937 	      0.48593268 	        526.4623
600 	       96.216105 	       0.5426058 	       527.24433
750 	       129.45978 	      0.61100149 	       528.24366
900 	       135.10633 	      0.62152112 	       528.40267
1050 	       147.45687 	      0.64365647 	       528.74136
1200 	       152.21702 	      0.65188967 	       528.86884
1350 	       144.34966 	      0.63819377 	       528.65727
1500 	       145.52949 	      0.64028019 	       528.68924
