#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	               0 	               0 	              -1
750 	      0.73400777 	      0.09197739 	       521.06548
900 	        17.84381 	      0.28774909 	       522.77726
1050 	       36.555236 	      0.38350145 	        523.8433
1200 	        50.95193 	      0.43806312 	       524.51517
1350 	       57.944964 	      0.46119862 	       524.81372
1500 	       56.371253 	      0.45617958 	       524.74755
