#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	       3.9699533 	      0.15145542 	       522.87473
750 	        38.59288 	      0.37651577 	       525.08072
900 	       73.202377 	      0.48640329 	       526.46864
1050 	       108.27798 	      0.56885746 	       527.62085
1200 	       130.99786 	      0.61389534 	       528.28723
1350 	       130.93297 	      0.61376746 	       528.28546
1500 	       120.12414 	      0.59300759 	       527.97434
