#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	               0 	               0 	              -1
750 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1050 	               0 	               0 	              -1
1200 	       5.6129621 	      0.18148565 	       521.78241
1350 	       20.613451 	       0.3049413 	       522.95606
1500 	       32.911602 	      0.36777776 	       523.65665
