#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	               0 	               0 	              -1
750.00002 	       9.1781414 	      0.21197711 	       523.36879
900 	       16.535532 	      0.26825479 	       523.89922
1050 	       23.506576 	      0.30878547 	       524.31807
1200 	       30.524555 	      0.34280282 	       524.69162
1350.0001 	       37.308976 	      0.37146137 	        525.0211
1500 	       43.851295 	      0.39625562 	        525.3168
1650 	        48.89577 	      0.41389972 	       525.53281
1800 	       53.567204 	      0.42928575 	       525.72505
1950 	       57.634987 	       0.4420403 	       525.88703
2100 	       61.271404 	      0.45299243 	       526.02801
2250 	       64.732659 	      0.46306057 	       526.15911
2400 	       67.933003 	      0.47208533 	       526.27787
2550 	       70.509829 	      0.47916859 	       526.37186
2700 	       72.896694 	      0.48559201 	       526.45771
2850 	       74.481993 	      0.48978916 	       526.51411
3000 	        76.20401 	      0.49428781 	       526.57482
