#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	       66.106628 	      0.46695912 	       526.21045
750 	       111.63082 	      0.57583198 	       527.72255
900 	       118.39004 	      0.58954484 	       527.92369
1050 	       116.50984 	      0.58577687 	       527.86823
1200.0003 	       122.96289 	        0.598547 	       528.05728
1350 	       137.33513 	      0.62560614 	       528.46465
1500 	       138.81405 	      0.62829086 	       528.50559
