#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450 	               0 	               0 	              -1
600 	               0 	               0 	              -1
750 	               0 	               0 	              -1
900 	       3.1031706 	       0.1432091 	       521.48607
1050 	       11.590016 	       0.2422833 	       522.32358
1200.0003 	       16.954011 	      0.28210633 	       522.71601
1350 	       25.789829 	      0.33359137 	       523.26688
1500 	       38.253144 	      0.39058853 	       523.92708
