#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450.00043 	               0 	               0 	              -1
600 	       49.170907 	      0.41456434 	       525.55091
750 	       92.634226 	      0.53420931 	       527.13542
900 	       117.59186 	      0.58772232 	       527.90681
1050 	       130.02174 	      0.61185205 	       528.26609
1200 	       138.24273 	      0.62703499 	       528.49642
1350 	       140.67366 	      0.63141956 	       528.56348
1500 	       141.85126 	      0.63353145 	       528.59575
