#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
150 	               0 	               0 	              -1
300 	               0 	               0 	              -1
450.00043 	       5.5873613 	      0.39801513 	       525.63858
600 	       8.2427117 	       0.4649906 	       526.48442
750 	       9.9597921 	      0.50155394 	       526.97315
900 	       10.647303 	      0.51512606 	       527.15923
1050 	       11.776618 	       0.5363221 	       527.45477
1200 	       12.487619 	      0.54904713 	       527.63503
1350 	       12.885794 	       0.5559837 	       527.73418
1500 	       13.051215 	      0.55882814 	       527.77501
