#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	       409.65017 	       4.1449757 	       523.95567
900 	       548.35591 	        4.662813 	       524.55646
1200 	       633.03257 	       4.9413738 	       524.89273
1500.0004 	       772.98196 	       5.3522489 	       525.41484
1800 	       855.09884 	       5.5747843 	       525.70177
2100 	       869.37225 	       5.6123037 	       525.75035
2400 	       860.49776 	       5.5892455 	       525.71999
2700 	       849.42279 	       5.5601601 	       525.68201
3000 	       823.13105 	       5.4902566 	         525.591
